Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2013-03-23,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-23,Lunch,960.0,65.9,40.9,0.0,0.0,0.0,0.0,403.0,0.0,61.8,0.0,52.4,30.8,0.0,0.0,126.0,0.0
2013-03-23,Dinner,736.0,42.5,18.7,0.0,0.0,0.0,0.0,169.0,0.0,70.2,0.0,42.0,17.2,0.0,0.0,42.0,0.0
2013-03-24,Breakfast,512.0,15.4,3.8,0.0,0.0,0.0,0.0,92.7,0.0,83.9,0.0,61.7,5.2,0.0,0.0,3.3,0.0
2013-03-24,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-25,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-26,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-26,Lunch,489.5,21.2,9.9,1.8,7.3,0.0,105.5,948.0,698.9,42.0,2.3,4.2,32.1,9.8,7.2,18.3,24.0
2013-03-26,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-26,Snacks,500.0,24.0,14.8,0.0,0.0,0.0,0.0,96.0,0.0,62.8,0.0,54.0,6.8,0.0,0.0,328.0,0.0
2013-03-27,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-27,Dinner,780.0,21.0,8.9,0.0,0.0,1.0,100.0,1980.0,0.0,98.0,7.0,16.0,53.0,20.0,45.0,90.0,50.0
2013-03-27,Snacks,1105.0,34.1,17.7,0.0,0.0,0.0,0.0,329.0,0.0,157.7,7.2,78.2,39.0,0.0,0.0,0.0,0.0
2013-03-31,Breakfast,374.0,13.2,5.8,2.5,2.0,0.2,0.0,210.0,210.0,53.0,7.0,11.0,13.0,15.0,0.0,22.0,90.0
2013-03-31,Lunch,880.0,22.0,9.0,0.0,0.0,0.0,100.0,2040.0,0.0,112.0,12.0,24.0,56.0,20.0,50.0,90.0,50.0
2013-03-31,Dinner,474.0,17.4,10.5,0.2,0.1,0.0,76.0,326.0,336.0,55.2,1.2,51.1,26.3,35.1,40.5,3.1,6.0
2013-04-04,Breakfast,572.0,23.7,6.3,0.0,0.0,0.0,0.0,20.0,0.0,84.3,6.0,58.8,8.7,0.0,83.0,0.0,0.0
2013-07-04,Breakfast,234.0,8.1,5.3,0.0,0.0,0.2,0.0,170.0,0.0,35.0,0.9,12.0,8.5,0.0,0.0,20.0,0.0
2013-07-04,Lunch,753.0,20.0,5.0,4.0,8.0,0.0,63.0,639.0,315.0,189.0,2.0,0.0,31.0,0.0,0.0,21.5,16.0
2013-07-04,Snacks,331.5,4.7,2.0,0.8,1.5,0.0,1.8,147.1,844.9,73.1,7.2,36.4,5.1,3.0,34.2,1.2,3.4
2013-07-06,Dinner,474.0,16.0,0.2,0.0,0.0,0.8,0.0,2.4,860.0,74.0,6.2,29.4,15.2,2.4,36.0,2.4,2.4
2013-07-07,Breakfast,1091.0,30.4,6.5,0.0,0.0,0.8,0.0,717.2,430.0,173.6,12.9,57.7,28.0,1.2,18.0,1.2,1.2
2013-07-07,Lunch,462.0,2.3,0.2,0.8,0.6,0.0,0.0,15.4,1724.8,116.3,6.2,95.5,9.4,175.3,207.9,10.8,20.5
2013-07-08,Breakfast,598.0,15.4,3.3,0.0,0.0,0.4,0.0,359.2,430.0,100.5,8.0,36.2,14.6,1.2,18.0,1.2,1.2
2013-07-08,Lunch,917.5,24.8,14.7,2.5,0.0,0.0,0.0,976.2,430.0,122.5,5.6,54.8,34.2,1.2,18.0,132.2,21.2
2013-07-08,Dinner,1008.1,50.6,26.9,0.0,0.0,0.0,89.3,2687.6,634.3,102.9,15.1,17.3,34.7,10.7,0.0,68.3,37.6
2013-07-09,Breakfast,233.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,0.0,0.0,9.3,0.0,0.0,0.0,0.0
2013-07-09,Lunch,500.0,20.6,14.6,0.0,0.0,0.0,0.0,300.0,0.0,32.6,0.0,32.6,23.0,0.0,0.0,126.0,0.0
2013-07-09,Dinner,1327.0,36.9,12.2,2.8,12.6,0.0,390.0,1745.0,2274.0,97.6,36.9,9.2,142.3,0.0,0.0,0.0,22.0
2013-07-09,Snacks,486.0,15.6,6.8,2.4,5.6,0.0,7.2,578.8,0.0,76.8,4.4,30.0,10.0,0.0,0.0,0.0,0.0
2013-07-10,Breakfast,493.0,15.0,3.2,0.0,0.0,0.4,0.0,358.0,0.0,73.1,4.9,21.5,13.4,0.0,0.0,0.0,0.0
2013-07-10,Lunch,863.5,32.3,19.9,1.8,4.2,0.0,5.0,831.7,0.0,90.2,3.3,55.3,30.5,0.0,0.0,126.0,0.0
2013-07-10,Dinner,855.0,26.8,13.8,0.0,0.0,0.0,0.0,1917.3,0.0,132.9,19.7,37.3,24.1,0.0,0.0,3.3,9.8
2013-07-10,Snacks,78.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,48.0,19.8,0.0,19.8,0.0,0.0,0.0,5.0,0.0
2013-07-11,Breakfast,340.0,12.0,2.5,0.0,0.0,0.0,65.0,940.0,0.0,57.0,1.0,10.0,23.0,8.0,4.0,6.0,14.0
2013-07-11,Lunch,864.0,32.3,19.8,1.8,4.2,0.0,5.2,782.9,0.0,90.2,3.3,55.2,30.5,0.0,0.0,126.0,0.0
2013-07-11,Dinner,686.0,26.0,10.0,0.0,0.0,0.0,74.0,2400.0,0.0,82.0,8.0,14.0,46.0,0.0,0.0,0.0,0.0
2013-07-13,Breakfast,264.0,15.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,19.2,0.0,0.0,12.8,0.0,0.0,0.0,0.0
2013-07-13,Snacks,620.0,8.0,7.6,0.0,0.0,0.0,0.0,770.0,2496.0,95.6,16.0,69.6,12.0,0.0,0.0,44.1,0.0
2013-07-14,Lunch,1660.0,25.3,18.9,0.6,4.6,0.0,125.0,1116.0,62.0,292.1,0.0,4.1,66.2,8.4,0.0,49.3,3.6
2013-07-14,Snacks,1434.0,31.2,17.6,0.0,0.0,0.0,0.0,191.8,550.0,278.2,12.4,145.8,22.4,21.8,65.2,10.8,16.8
2013-07-15,Breakfast,493.0,15.0,3.2,0.0,0.0,0.4,0.0,358.0,0.0,73.1,4.9,21.5,13.4,0.0,0.0,0.0,0.0
2013-07-15,Lunch,863.5,32.3,19.9,1.8,4.2,0.0,5.0,831.7,0.0,90.2,3.3,55.3,30.5,0.0,0.0,126.0,0.0
2013-07-15,Dinner,648.5,9.3,4.4,0.8,2.4,0.0,0.0,1729.0,0.0,104.5,21.0,25.8,25.3,0.0,0.0,0.0,0.0
2013-07-15,Snacks,160.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,550.0,37.0,0.0,25.0,2.0,0.0,0.0,0.0,6.0
2013-07-16,Breakfast,870.0,36.6,25.5,0.0,0.0,0.0,135.0,2550.0,0.0,75.0,0.0,3.9,45.9,18.0,6.0,75.0,45.0
2013-07-16,Lunch,742.5,28.4,18.1,1.2,2.8,0.0,3.4,638.2,0.0,71.0,2.2,47.7,28.0,0.0,0.0,126.0,0.0
2013-07-16,Dinner,335.0,1.8,0.6,0.5,0.1,0.0,0.0,10.0,955.0,85.8,4.5,81.3,3.2,10.0,33.3,7.0,8.1
2013-07-16,Snacks,870.0,36.6,25.5,0.0,0.0,0.0,135.0,2550.0,0.0,75.0,0.0,3.9,45.9,18.0,6.0,75.0,45.0
2013-07-17,Breakfast,493.0,15.0,3.2,0.0,0.0,0.4,0.0,358.0,0.0,73.1,4.9,21.5,13.4,0.0,0.0,0.0,0.0
2013-07-17,Lunch,1000.0,43.0,13.0,0.0,0.0,0.0,110.0,2730.0,0.0,95.0,5.0,17.0,56.0,45.0,40.0,100.0,50.0
2013-07-17,Dinner,781.5,12.9,6.4,1.2,3.6,0.0,0.0,1956.0,0.0,126.8,22.8,27.0,28.8,0.0,0.0,0.0,0.0
